BAIRRO,AREA,QUARTOS,BANHEIROS,VAGAS,PRECO,LATITUDE,LONGITUDE
1,64,2,2,1,265000,-29.76177577,-50.02424511
1,98,2,2,2,450000,-29.75432766,-50.02785442
1,420,6,8,3,2500000,-29.76060286,-50.02183381
1,78,2,2,1,495000,-29.76190177,-50.01868689
1,86,2,2,1,690000,-29.7588286,-50.01768473
1,97,2,2,1,690000,-29.75825989,-50.01633769
1,65,1,1,1,285000,-29.75480931,-50.03082173
1,63,1,2,1,550000,-29.74809712,-50.03022846
1,68,1,1,1,580000,-29.75514033,-50.03409858
1,120,2,2,1,470000,-29.75383169,-50.02463776
1,160,3,2,1,890000,-29.75408941,-50.01683065
1,76,1,1,1,290000,-29.75451608,-50.03287478
1,82,2,2,1,390000,-29.75655665,-50.03720919
1,58,1,1,1,270000,-29.75780344,-50.02847922
1,131,2,2,1,780000,-29.75290332,-50.02486131
1,74,2,2,1,437000,-29.75705262,-50.0212071
1,130,3,2,1,835000,-29.7535585,-50.02142779
1,120,2,2,1,750000,-29.75553092,-50.02502945
1,161,3,2,1,890000,-29.75602002,-50.01843755
1,100,3,2,1,598000,-29.75970198,-50.03066888
1,80,1,1,1,415000,-29.7644154,-50.01709242
1,60,2,1,1,1260000,-29.75955823,-50.02077815
1,140,3,2,1,525000,-29.75645127,-50.03706494
1,136,3,2,1,676000,-29.75957598,-50.0255014
1,109,2,2,1,580000,-29.75926157,-50.02722293
1,103,1,1,1,489000,-29.75552577,-50.03430589
1,53,1,1,1,240000,-29.75743347,-50.01596033
1,120,2,2,1,580000,-29.7588452,-50.02219971
1,70,2,2,1,605000,-29.75022876,-50.02854609
1,85,2,2,1,915000,-29.75527148,-50.0328337
1,140,3,3,2,1480000,-29.7593595,-50.01679244
1,90,2,2,1,590000,-29.75740312,-50.01752424
1,90,2,2,1,575000,-29.75704231,-50.02069026
1,120,2,2,1,670000,-29.76081934,-50.0157855
1,103,2,2,1,570000,-29.75684587,-50.01656698
1,85,2,2,1,540800,-29.75959202,-50.02886327
1,90,2,1,1,730000,-29.75859722,-50.02413716
1,100,2,2,1,460000,-29.74862058,-50.03122871
1,64,2,2,1,397000,-29.7550676,-50.03434028
1,82,2,2,1,510000,-29.75529267,-50.03297413
1,102,2,2,1,840000,-29.76189719,-50.01531929
1,91,3,1,1,380000,-29.74961481,-50.02810377
1,130,2,2,1,490000,-29.76293036,-50.01811177
1,107,3,3,1,565000,-29.76163775,-50.02172968
1,103,2,2,1,620000,-29.75554066,-50.02543166
1,95,2,2,1,900000,-29.75536083,-50.02760794
1,130,4,3,2,750000,-29.75771181,-50.03118381
1,90,2,2,1,780000,-29.75667176,-50.03042144
1,100,2,2,1,550000,-29.74964746,-50.03035648
1,96,2,2,1,750000,-29.75492958,-50.02836458
1,93,2,2,1,580000,-29.75724333,-50.0121504
1,80,2,2,1,580000,-29.75962295,-50.02670705
1,70,1,1,1,350000,-29.75373089,-50.02091859
1,92,2,2,1,450000,-29.75219946,-50.03326934
1,62,2,2,1,469000,-29.76194816,-50.01946646
1,80,2,2,1,750000,-29.760537,-50.01469163
1,72,2,2,1,650000,-29.75423888,-50.01813852
1,100,2,1,1,750000,-29.75706064,-50.03318049
1,133,3,3,2,1460000,-29.75164851,-50.03457243
1,101,2,2,1,500001,-29.75343422,-50.02337001
1,43,1,1,1,215000,-29.75994137,-50.0221529
1,64,1,1,1,320000,-29.75541294,-50.01876237
1,39,1,1,1,197000,-29.75379732,-50.0205909
1,58,1,1,1,292000,-29.75700909,-50.02497787
1,46,1,1,1,230000,-29.75422629,-50.03561567
1,46,1,1,1,230000,-29.75202707,-50.02846966
1,46,1,1,1,230000,-29.75463119,-50.02644528
